"","CC18_322a","CC18_322b","CC18_322c_new","CC18_322d_new","CC18_322c","CC18_322f"
"1",1,2,1,2,1,2
"2",1,2,1,2,1,1
"3",1,2,1,1,1,2
"4",2,1,2,2,2,2
"5",2,1,1,1,2,1
"6",2,1,2,2,1,1
"7",2,1,1,2,2,2
"8",2,1,2,1,2,1
"9",1,2,1,2,1,2
"10",2,1,2,2,2,2
"11",2,2,2,2,2,2
"12",1,1,2,1,1,1
"13",2,1,2,2,1,2
"14",1,1,1,1,1,1
"15",2,1,2,2,2,2
"16",2,1,1,1,2,1
"17",2,1,1,2,2,2
"18",2,1,2,2,2,2
"19",2,1,2,2,2,2
"20",1,1,1,1,1,1
"21",2,1,2,2,2,2
"22",2,1,2,1,2,2
"23",1,1,1,2,1,1
"24",1,1,2,1,1,2
"25",2,1,2,2,2,1
"26",2,2,1,2,1,2
"27",2,1,NA,2,2,2
"28",1,1,2,2,1,1
"29",1,1,2,2,1,2
"30",1,2,1,2,1,1
"31",2,2,1,2,1,2
"32",1,2,1,1,1,1
"33",2,1,2,2,2,2
"34",1,1,2,1,1,1
"35",2,1,2,2,2,2
"36",2,1,2,2,2,2
"37",1,2,1,2,1,1
"38",2,1,2,2,2,1
"39",2,1,NA,NA,2,2
"40",2,1,2,2,2,2
"41",1,2,1,1,1,1
"42",1,1,1,1,1,1
"43",2,1,2,2,2,2
"44",2,1,1,1,1,1
"45",1,1,2,1,2,1
"46",2,1,2,2,2,1
"47",2,1,2,2,2,1
"48",1,2,1,1,1,1
"49",2,1,2,2,2,2
"50",1,1,NA,NA,1,1
"51",2,1,NA,NA,1,2
"52",2,1,NA,NA,2,2
"53",NA,1,NA,NA,2,NA
"54",2,1,NA,NA,2,1
"55",1,1,1,1,1,1
"56",2,1,NA,NA,2,2
"57",2,1,2,2,2,2
"58",2,1,2,1,2,1
"59",2,1,NA,NA,2,2
"60",2,1,2,2,2,2
"61",1,1,NA,NA,2,1
"62",2,1,2,2,2,2
"63",2,1,NA,NA,2,2
"64",2,1,2,2,1,1
"65",1,1,1,1,1,1
"66",1,1,NA,NA,1,2
"67",2,1,NA,NA,2,2
"68",1,NA,NA,NA,1,1
"69",1,1,2,1,1,1
"70",1,1,NA,NA,1,1
"71",2,2,NA,NA,1,1
"72",1,2,NA,NA,1,1
"73",2,1,NA,NA,2,2
"74",2,1,NA,NA,1,1
"75",2,1,NA,NA,2,2
"76",1,1,NA,NA,1,2
"77",1,2,NA,NA,1,1
"78",2,1,NA,NA,2,2
"79",1,2,NA,NA,1,1
"80",1,2,NA,NA,1,1
"81",2,1,2,2,2,2
"82",2,1,2,1,1,2
"83",2,1,2,2,2,2
"84",2,2,1,2,1,1
"85",2,1,2,2,2,2
"86",2,1,2,2,2,2
"87",1,2,NA,NA,1,1
"88",1,1,NA,NA,1,1
"89",2,1,2,2,2,2
"90",1,1,2,2,1,1
"91",1,1,NA,NA,1,1
"92",2,1,NA,NA,2,2
"93",2,1,NA,NA,2,1
"94",2,1,NA,NA,2,2
"95",2,1,NA,NA,2,2
"96",1,2,NA,NA,1,1
"97",2,1,NA,NA,1,2
"98",2,2,NA,NA,1,1
"99",1,2,NA,NA,1,2
"100",1,1,NA,NA,1,1
"101",2,1,NA,NA,2,2
"102",2,1,NA,NA,2,2
"103",2,2,2,2,1,1
"104",1,2,NA,NA,1,1
"105",2,1,NA,NA,2,2
"106",1,1,NA,NA,1,1
"107",1,2,NA,NA,1,1
"108",1,1,NA,NA,2,1
"109",2,1,NA,NA,2,2
"110",1,1,1,2,1,1
"111",1,2,NA,NA,1,2
"112",2,1,2,2,2,2
"113",1,2,NA,NA,1,1
"114",1,2,NA,NA,1,1
"115",2,1,NA,NA,2,1
"116",2,1,NA,NA,2,2
"117",1,2,NA,NA,1,1
"118",2,1,NA,NA,2,2
"119",1,1,NA,NA,2,1
"120",1,2,NA,NA,1,1
"121",2,1,2,2,2,1
"122",2,1,NA,NA,2,2
"123",2,1,NA,NA,2,2
"124",2,1,NA,NA,2,1
"125",2,1,NA,NA,2,2
"126",1,1,1,1,1,2
"127",1,2,NA,NA,1,1
"128",2,1,NA,NA,2,1
"129",2,1,NA,NA,1,1
"130",2,1,NA,NA,1,1
"131",1,1,NA,NA,1,1
"132",1,2,NA,NA,1,1
"133",2,1,NA,NA,2,2
"134",1,2,NA,NA,1,NA
"135",1,1,NA,NA,1,1
"136",1,2,NA,NA,1,1
"137",1,2,NA,NA,1,1
"138",1,2,NA,NA,1,1
"139",2,1,NA,NA,2,2
"140",1,NA,NA,NA,1,1
"141",2,1,NA,NA,2,2
"142",NA,1,2,2,2,2
"143",1,2,NA,NA,1,1
"144",1,2,NA,NA,1,1
"145",2,1,NA,NA,2,2
"146",1,2,NA,NA,1,1
"147",2,1,NA,NA,2,2
"148",1,2,NA,NA,1,1
"149",1,1,NA,NA,1,1
"150",1,1,NA,NA,1,1
"151",2,1,2,1,2,2
"152",2,1,NA,NA,2,2
"153",2,2,NA,NA,2,2
"154",2,1,2,2,2,2
"155",2,1,NA,NA,2,2
"156",1,1,NA,NA,1,1
"157",1,2,NA,NA,1,1
"158",1,1,NA,NA,1,1
"159",2,1,NA,NA,2,2
"160",1,1,1,1,1,1
"161",2,1,NA,NA,2,2
"162",2,2,NA,NA,2,2
"163",2,1,NA,NA,1,1
"164",2,1,NA,NA,2,2
"165",2,1,NA,NA,2,1
"166",2,1,NA,NA,2,1
"167",2,1,NA,NA,2,2
"168",2,1,NA,NA,2,2
"169",1,1,NA,NA,1,1
"170",2,1,NA,NA,2,2
"171",2,1,NA,NA,2,2
"172",2,1,NA,NA,2,2
"173",1,1,NA,NA,1,1
"174",1,2,NA,NA,1,1
"175",2,1,NA,NA,2,2
"176",2,1,NA,NA,2,2
"177",1,2,1,2,1,1
"178",2,1,1,2,1,1
"179",2,1,2,2,2,2
"180",1,2,NA,NA,1,1
"181",2,1,NA,NA,1,1
"182",2,1,NA,NA,1,1
"183",1,2,NA,NA,1,1
"184",2,1,2,2,2,1
"185",1,1,NA,NA,1,1
"186",2,1,NA,NA,2,2
"187",1,2,NA,NA,1,1
"188",2,1,NA,NA,2,2
"189",1,2,NA,NA,1,1
"190",2,1,NA,NA,2,2
"191",1,1,NA,NA,2,2
"192",1,2,NA,NA,1,1
"193",2,1,NA,NA,1,1
"194",1,2,1,2,1,1
"195",2,1,NA,NA,2,2
"196",2,1,NA,NA,2,2
"197",2,1,NA,NA,1,2
"198",1,1,NA,NA,2,1
"199",1,1,NA,NA,2,2
"200",2,1,2,1,1,2
"201",1,1,NA,NA,1,1
"202",1,1,NA,NA,1,1
"203",2,1,NA,NA,2,1
"204",1,2,NA,NA,2,1
"205",2,1,2,2,2,2
"206",2,1,NA,NA,2,1
"207",2,2,NA,NA,1,1
"208",2,1,NA,NA,2,2
"209",1,2,NA,NA,1,1
"210",2,2,NA,NA,1,1
"211",2,1,NA,NA,1,1
"212",2,1,NA,NA,2,2
"213",1,2,NA,NA,1,1
"214",1,2,1,1,1,1
"215",2,1,NA,NA,2,2
"216",1,1,1,1,1,1
"217",1,1,1,2,2,1
"218",2,1,NA,NA,2,2
"219",1,1,NA,NA,1,1
"220",2,1,1,2,2,2
"221",1,1,NA,NA,1,1
"222",2,1,NA,NA,2,2
"223",2,2,NA,NA,1,1
"224",2,1,NA,NA,2,1
"225",1,2,NA,NA,2,2
"226",2,1,NA,NA,2,2
"227",1,2,NA,NA,2,1
"228",2,1,NA,NA,2,2
"229",1,1,NA,NA,1,1
"230",2,1,NA,NA,2,2
"231",2,1,NA,NA,2,2
"232",1,1,NA,NA,1,1
"233",2,1,NA,NA,1,1
"234",2,1,NA,NA,2,2
"235",2,1,NA,NA,2,2
"236",2,2,NA,NA,1,2
"237",1,2,NA,NA,1,1
"238",2,1,2,2,2,2
"239",2,1,NA,NA,2,1
"240",2,1,2,2,2,2
"241",2,1,NA,NA,1,2
"242",2,2,NA,NA,1,1
"243",2,1,NA,NA,2,2
"244",2,1,NA,NA,2,2
"245",2,1,2,2,2,2
"246",2,1,NA,NA,2,1
"247",NA,2,NA,NA,1,1
"248",2,1,NA,NA,2,2
"249",2,1,NA,NA,2,2
"250",2,1,NA,NA,2,2
"251",2,1,NA,NA,2,2
"252",1,2,NA,NA,1,1
"253",2,1,NA,NA,2,1
"254",2,1,NA,NA,2,2
"255",1,1,NA,NA,1,1
"256",1,2,NA,NA,1,1
"257",2,1,NA,NA,2,2
"258",1,2,1,2,1,2
"259",2,1,NA,NA,1,1
"260",2,1,NA,NA,2,2
"261",1,1,NA,NA,1,1
"262",1,1,1,1,2,2
"263",2,1,NA,NA,2,2
"264",1,1,NA,NA,1,1
"265",1,1,NA,NA,1,1
"266",2,1,NA,NA,1,1
"267",1,2,NA,NA,1,1
"268",2,2,NA,NA,2,1
"269",1,2,NA,NA,1,1
"270",1,2,NA,NA,1,1
"271",2,1,NA,NA,2,2
"272",NA,2,NA,NA,1,2
"273",1,2,NA,NA,1,1
"274",1,2,NA,NA,1,1
"275",2,1,NA,NA,2,2
"276",1,2,NA,NA,1,1
"277",1,2,NA,NA,1,1
"278",2,1,NA,NA,2,1
"279",1,2,NA,NA,1,1
"280",2,1,NA,NA,2,2
"281",2,1,NA,NA,2,1
"282",1,1,NA,NA,1,1
"283",1,2,NA,NA,1,1
"284",2,1,NA,NA,2,2
"285",2,1,NA,NA,2,2
"286",2,1,NA,NA,2,2
"287",1,1,NA,NA,1,1
"288",1,1,NA,NA,1,1
"289",2,1,NA,NA,2,2
"290",2,1,NA,NA,1,1
"291",2,1,NA,NA,2,1
"292",2,1,NA,NA,2,2
"293",1,2,NA,NA,1,1
"294",1,1,NA,NA,1,1
"295",2,1,NA,NA,2,2
"296",1,2,NA,NA,1,1
"297",2,1,NA,NA,2,1
"298",2,1,NA,NA,2,1
"299",1,2,NA,NA,1,1
"300",2,2,NA,NA,1,2
"301",2,1,NA,NA,1,2
"302",2,1,NA,NA,1,1
"303",2,1,NA,NA,2,2
"304",1,2,NA,NA,1,1
"305",2,1,NA,NA,2,2
"306",1,1,NA,NA,1,1
"307",2,1,NA,NA,2,2
"308",2,1,NA,NA,2,2
"309",2,2,NA,NA,1,1
"310",2,1,NA,NA,2,2
"311",2,1,NA,NA,2,2
"312",1,2,NA,NA,1,1
"313",2,1,NA,NA,1,2
"314",1,1,NA,NA,1,1
"315",2,2,NA,NA,2,2
"316",2,1,NA,NA,2,2
"317",2,1,NA,NA,2,2
"318",2,1,NA,NA,2,2
"319",2,1,NA,NA,2,2
"320",2,1,NA,NA,2,2
"321",2,1,NA,NA,2,1
"322",2,2,NA,NA,2,2
"323",1,2,NA,NA,1,1
"324",2,1,NA,NA,2,1
"325",2,2,NA,NA,2,1
"326",1,1,NA,NA,2,1
"327",2,1,NA,NA,2,2
"328",1,2,NA,NA,1,1
"329",1,1,1,1,1,1
"330",1,2,NA,NA,NA,1
"331",2,1,NA,NA,2,2
"332",2,1,NA,NA,2,2
"333",2,2,2,2,2,1
"334",2,1,NA,NA,2,1
"335",1,2,NA,NA,1,1
"336",2,1,NA,NA,1,1
